Feature,Correlation,Mutual_Information,RF_Importance,Permutation_Importance,SHAP_Importance,Average_Importance
alcohol,0.4398,0.1575,0.1222,0.1379,0.043,0.975
density,0.3093,0.1443,0.1032,0.0316,0.0013,0.5942
volatile_acidity,0.2697,0.0621,0.0999,0.0831,0.0032,0.5435
sulphates,0.0344,0.0247,0.0878,0.0419,0.0521,0.4678
chlorides,0.2011,0.0693,0.0867,0.0354,0.0078,0.3831
total_sulfur_dioxide,0.0365,0.0523,0.0918,0.0304,0.0004,0.3455
residual_sugar,0.0347,0.0597,0.0851,0.0219,0.0148,0.2678
free_sulfur_dioxide,0.0551,0.0464,0.084,0.0312,0.0033,0.2545
citric_acid,0.0798,0.037,0.0792,0.0242,0.0148,0.2456
pH,0.0173,0.0102,0.0845,0.0165,0.0104,0.1891
fixed_acidity,0.087,0.0177,0.0757,0.0102,0.0013,0.172
