Removed_Feature,Accuracy,Accuracy_Drop,F1_Score,F1_Drop
residual_sugar,0.546,-0.0076,0.5244,0.003
volatile_acidity,0.5536,-0.0151,0.5319,-0.0044
alcohol,0.5536,-0.0151,0.53,-0.0026
sulphates,0.5549,-0.0164,0.5304,-0.003
citric_acid,0.5586,-0.0202,0.5338,-0.0064
free_sulfur_dioxide,0.5586,-0.0202,0.5316,-0.0041
chlorides,0.5599,-0.0214,0.5363,-0.0088
density,0.5612,-0.0227,0.5365,-0.0091
total_sulfur_dioxide,0.5624,-0.024,0.5388,-0.0114
pH,0.5675,-0.029,0.5405,-0.0131
fixed_acidity,0.575,-0.0366,0.5502,-0.0228
