Feature,Mean,Median,Std,Min,Max,Skewness,Kurtosis
fixed_acidity,6.8393,6.8,0.8669,3.8,14.2,0.6961,2.253
volatile_acidity,0.2805,0.26,0.1034,0.08,1.1,1.6411,5.3278
citric_acid,0.3343,0.32,0.1224,0.0,1.66,1.3106,6.8448
residual_sugar,5.9148,4.7,4.8616,0.6,65.8,1.3336,5.6815
chlorides,0.0459,0.042,0.0231,0.009,0.346,4.9691,35.5303
free_sulfur_dioxide,34.8892,33.0,17.21,2.0,289.0,1.5667,13.434
total_sulfur_dioxide,137.1935,133.0,43.1291,9.0,440.0,0.4568,0.7353
density,0.9938,0.9935,0.0029,0.9871,1.039,1.2733,14.1849
pH,3.1955,3.18,0.1515,2.72,3.82,0.4555,0.55
sulphates,0.4904,0.48,0.1135,0.22,1.08,0.9379,1.565
alcohol,10.5894,10.4,1.2171,8.0,14.2,0.4507,-0.696
quality,5.8548,6.0,0.8907,3.0,9.0,0.112,0.2993
