File_Name,Description
00_SUMMARY_key_findings.csv,Quick reference: All key metrics
01_TABLE_dataset_characteristics.csv,Dataset info
02_TABLE_baseline_performance.csv,Baseline model results
03_TABLE_feature_importance_rankings.csv,Feature importance from 7 methods
04_TABLE_individual_ablation.csv,Individual feature ablation
05_TABLE_cumulative_addition.csv,Cumulative feature addition
06_TABLE_topk_performance.csv,Top-K performance analysis
07_TABLE_distribution_statistics.csv,"Feature distributions (skewness, kurtosis)"
08_TABLE_cv_summary.csv,Cross-validation summary
09_TABLE_statistical_tests.csv,Statistical significance tests
10_TABLE_confidence_intervals.csv,95% confidence intervals
11_RANKING_features_ordered.csv,Feature ranking (most to least important)
