Feature,Mean,Median,Std,Min,Max,Skewness,Kurtosis
fixed_acidity,6.8393461247159815,6.8,0.8668597405075802,3.8,14.2,0.6961002189465597,2.253047397588263
volatile_acidity,0.2805377429941934,0.26,0.10343708697305004,0.08,1.1,1.6410809789536034,5.327754000428026
citric_acid,0.33433223933350165,0.32,0.12244609076939168,0.0,1.66,1.3106010172583804,6.844808170477563
residual_sugar,5.91481949002777,4.7,4.861646307806205,0.6,65.8,1.333639018039196,5.681512165840735
chlorides,0.0459050744761424,0.042,0.02310271480397705,0.009,0.346,4.9690763179339195,35.530287983648144
free_sulfur_dioxide,34.889169401666244,33.0,17.21002061114961,2.0,289.0,1.5666802198269172,13.434024873683851
total_sulfur_dioxide,137.19351173945972,133.0,43.12906524025189,9.0,440.0,0.4567996770589028,0.7352578602399502
density,0.9937895304216107,0.9935,0.0029045957783314807,0.98711,1.03898,1.273317860741664,14.184892106605444
pH,3.1954582176218125,3.18,0.15154556715055553,2.72,3.82,0.45545683102180484,0.5499570349177985
sulphates,0.4903509214844737,0.48,0.11352280532150684,0.22,1.08,0.937853335745201,1.5650206023903892
alcohol,10.58935790624716,10.4,1.217076311302661,8.0,14.2,0.45069659803859363,-0.695979718033426
quality,5.854834637717748,6.0,0.8906826794808556,3.0,9.0,0.11200403450750412,0.29934517032201935
