Feature,Outlier_Count,Outlier_Percentage,Lower_Bound,Upper_Bound
citric_acid,509,7.83438510081576,0.03999999999999998,0.6000000000000001
volatile_acidity,377,5.802678159150377,-0.024999999999999994,0.655
fixed_acidity,357,5.494843774049561,4.450000000000001,9.65
chlorides,286,4.402031706941665,-0.002500000000000009,0.10550000000000001
sulphates,191,2.9398183777127906,0.175,0.855
residual_sugar,118,1.816222872094813,-7.6499999999999995,17.549999999999997
pH,73,1.1235955056179776,2.795,3.635
free_sulfur_dioxide,62,0.9542865938125289,-19.0,77.0
total_sulfur_dioxide,10,0.15391719255040787,-41.5,274.5
density,3,0.04617515776512237,0.9853649999999999,1.003965
alcohol,3,0.04617515776512237,6.799999999999999,14.000000000000002
