Removed_Feature,Accuracy,Accuracy_Drop,Accuracy_Drop_%,F1_Score,F1_Drop,Num_Features_Used
volatile acidity,0.659375,0.021874999999999978,3.2110091743119233,0.6444604096570904,0.021871347425044596,10
chlorides,0.659375,0.021874999999999978,3.2110091743119233,0.6430359110161245,0.02329584606601054,10
pH,0.659375,0.021874999999999978,3.2110091743119233,0.643780376993382,0.022551380088753015,10
alcohol,0.659375,0.021874999999999978,3.2110091743119233,0.640622413779423,0.025709343302712018,10
free sulfur dioxide,0.6625,0.018750000000000044,2.752293577981658,0.647145761944149,0.019185995137986023,10
sulphates,0.665625,0.015625,2.2935779816513757,0.6512782628796814,0.01505349420245361,10
citric acid,0.66875,0.012500000000000067,1.8348623853211108,0.6536828071032491,0.012648949978885882,10
density,0.66875,0.012500000000000067,1.8348623853211108,0.6541623663596908,0.012169390722444162,10
residual sugar,0.675,0.006249999999999978,0.9174311926605472,0.6591526235533313,0.007179133528803727,10
total sulfur dioxide,0.675,0.006249999999999978,0.9174311926605472,0.6598255556947059,0.006506201387429078,10
fixed acidity,0.684375,-0.0031249999999999334,-0.45871559633026543,0.6682915695415695,-0.001959812459434551,10
